"Sample","Population","Country","Region"
"ERR580397","WSEA","Thailand","Asia"
"ERR580398","WSEA","Thailand","Asia"
"ERR580399","WSEA","Thailand","Asia"
"ERR580400","WSEA","Thailand","Asia"
"ERR580401","WSEA","Thailand","Asia"
"ERR580402","WSEA","Thailand","Asia"
"ERR580403","WSEA","Thailand","Asia"
"ERR580404","WSEA","Thailand","Asia"
"ERR580405","WSEA","Thailand","Asia"
"ERR580406","WSEA","Thailand","Asia"
"ERR580407","WSEA","Thailand","Asia"
"ERR580408","WSEA","Thailand","Asia"
"ERR580409","WSEA","Thailand","Asia"
"ERR580410","WSEA","Thailand","Asia"
"ERR580414","WSEA","Thailand","Asia"
"ERR580415","WSEA","Thailand","Asia"
"ERR580416","WSEA","Thailand","Asia"
"ERR580420","WSEA","Thailand","Asia"
"ERR580421","WSEA","Thailand","Asia"
"ERR580423","WSEA","Thailand","Asia"
"ERR580424","WSEA","Thailand","Asia"
"ERR580425","WSEA","Thailand","Asia"
"ERR580426","WSEA","Thailand","Asia"
"ERR580427","WSEA","Thailand","Asia"
"ERR580428","WSEA","Thailand","Asia"
"ERR580429","WSEA","Thailand","Asia"
"ERR580431","WSEA","Thailand","Asia"
"ERR580432","WSEA","Thailand","Asia"
"ERR580433","WSEA","Thailand","Asia"
"ERR580434","WSEA","Thailand","Asia"
"ERR580435","WSEA","Thailand","Asia"
"ERR580436","WSEA","Thailand","Asia"
"ERR580437","WSEA","Thailand","Asia"
"ERR580438","WSEA","Thailand","Asia"
"ERR580440","WSEA","Thailand","Asia"
"ERR580441","WSEA","Thailand","Asia"
"ERR580442","WSEA","Thailand","Asia"
"ERR580443","WSEA","Thailand","Asia"
"ERR580444","WSEA","Thailand","Asia"
"ERR580445","WSEA","Thailand","Asia"
"ERR580446","WSEA","Thailand","Asia"
"ERR580448","WSEA","Thailand","Asia"
"ERR580449","WSEA","Thailand","Asia"
"ERR580450","WSEA","Thailand","Asia"
"ERR580451","WSEA","Thailand","Asia"
"ERR580453","WSEA","Thailand","Asia"
"ERR580455","WSEA","Thailand","Asia"
"ERR580465","WAF","Cameroon","Africa"
"ERR580466","WAF","Cameroon","Africa"
"ERR580469","WAF","Cameroon","Africa"
"ERR580470","WAF","Cameroon","Africa"
"ERR580472","WAF","Cameroon","Africa"
"ERR580479","WAF","Cameroon","Africa"
"ERR580482","WAF","Cameroon","Africa"
"ERR580483","WAF","Cameroon","Africa"
"ERR580485","WAF","Cameroon","Africa"
"ERR580486","WAF","Cameroon","Africa"
"ERR580487","WAF","Cameroon","Africa"
"ERR580489","WAF","Cameroon","Africa"
"ERR580491","WAF","Cameroon","Africa"
"ERR580494","WAF","Cameroon","Africa"
"ERR580496","WAF","Cameroon","Africa"
"ERR580497","WAF","Cameroon","Africa"
"ERR580499","WAF","Cameroon","Africa"
"ERR580501","WAF","Cameroon","Africa"
"ERR580502","WAF","Cameroon","Africa"
"ERR580504","WAF","Cameroon","Africa"
"ERR580505","WAF","Cameroon","Africa"
"ERR580506","WAF","Cameroon","Africa"
"ERR580508","WAF","Cameroon","Africa"
"ERR580510","WAF","Cameroon","Africa"
"ERR580511","WAF","Cameroon","Africa"
"ERR580512","WAF","Cameroon","Africa"
"ERR580514","WAF","Cameroon","Africa"
"ERR580518","WAF","Cameroon","Africa"
"ERR580524","WAF","Cameroon","Africa"
"ERR580526","WAF","Cameroon","Africa"
"ERR580527","WAF","Cameroon","Africa"
"ERR580528","WAF","Cameroon","Africa"
"ERR580529","WAF","Cameroon","Africa"
"ERR580532","WAF","Cameroon","Africa"
"ERR580533","WAF","Cameroon","Africa"
"ERR580537","WAF","Cameroon","Africa"
"ERR580540","WAF","Cameroon","Africa"
"ERR580544","WAF","Cameroon","Africa"
"ERR580546","WAF","Cameroon","Africa"
"ERR580547","WAF","Cameroon","Africa"
"ERR580548","WAF","Cameroon","Africa"
"ERR580550","WAF","Cameroon","Africa"
"ERR580551","WAF","Cameroon","Africa"
"ERR580552","WAF","Cameroon","Africa"
"ERR580554","WAF","Cameroon","Africa"
"ERR580556","WAF","Cameroon","Africa"
"ERR580557","WAF","Cameroon","Africa"
"ERR580558","WAF","Cameroon","Africa"
"ERR580559","WAF","Cameroon","Africa"
"ERR580564","WAF","Cameroon","Africa"
"ERR580567","WAF","Cameroon","Africa"
"ERR580568","WAF","Cameroon","Africa"
"ERR580569","WAF","Cameroon","Africa"
"ERR580571","WAF","Cameroon","Africa"
"ERR580572","WAF","Cameroon","Africa"
"ERR580573","WAF","Cameroon","Africa"
"ERR580577","WAF","Cameroon","Africa"
"ERR580578","WAF","Cameroon","Africa"
"ERR580581","WAF","Cameroon","Africa"
"ERR580582","WAF","Cameroon","Africa"
"ERR580587","WAF","Cameroon","Africa"
"ERR580590","WAF","Cameroon","Africa"
"ERR580591","WAF","Cameroon","Africa"
"ERR580592","WAF","Cameroon","Africa"
"ERR580593","WAF","Cameroon","Africa"
"ERR580594","WAF","Cameroon","Africa"
"ERR580595","WAF","Cameroon","Africa"
