"Sample","PC1","PC2","PC3","Sample_id","Country","Year","Country_Origin"
"SRR1562525",-20.6856583495037,11.6594814868363,2.03933835831711,"Peru08","Peru",NA,"Peru"
"SRR1562526",-23.7609159129679,-15.6190478613299,-0.0344957710659899,"Mexico_13107","Mexico",2007,"Mexico"
"SRR1562534",-18.9814455830189,9.664197727007,0.177836101298187,"Peru869","Peru",NA,"Peru"
"SRR1562538",-20.515537398444,13.616958185971,-0.476462264260482,"Peru4017","Peru",2012,"Peru"
"SRR1562567",-19.1617480410996,9.66599979192572,2.1070706159972,"Peru1021","Peru",2011,"Peru"
"SRR1562614",-18.8422222571739,9.16236036783257,3.11101009268043,"Peru3043_D106","Peru",2011,"Peru"
"SRR1562616",17.9162088243755,0.758361439898475,4.95108355030495,"Thailand_VKBT-75","Thailand",2012,"Thailand"
"SRR1562624",-21.1169773213179,11.6856576399133,-1.43633980581341,"Peru3270_D0","Peru",2011,"Peru"
"SRR1562671",15.2832621399876,-0.716927062441472,2.92389721820756,"Thailand_VKTS-38","Thailand",2012,"Thailand"
"SRR1562672",7.00823192061039,0.698433292425436,-33.3851076047849,"PNG73","PNG",NA,"Papua New Guinea"
"SRR1562818",-20.376815951874,3.22139207387083,-0.714172827899236,"Colombia_30102100493","Colombia",2013,"Colombia"
"SRR1562840",-24.2442125854466,-21.8219920064074,1.20393909245449,"Mexico_1905","Mexico",2005,"Mexico"
"SRR1562845",15.8983270134329,0.096448895938974,1.1352559262875,"Thailand_VKBT-58","Thailand",2012,"Thailand"
"SRR1562870",-20.1048501837231,5.83835087224241,0.0677452379942818,"Colombia_30102100449","Colombia",2012,"Colombia"
"SRR1562871",-20.139887507645,6.93509484246614,2.18875612983159,"Peru258","Peru",2013,"Peru"
"SRR1562958",-19.844970533399,7.65602110449974,1.72069610994266,"Peru259","Peru",2013,"Peru"
"SRR1562965",-18.4161907214866,4.48403039673724,-0.442906177414532,"Colombia_30102100492","Colombia",2013,"Colombia"
"SRR1562967",-18.2357909872422,2.60863388252501,1.4649930410006,"Colombia_30103103295","Colombia",2013,"Colombia"
"SRR1562968",-24.6330301998681,-29.7938725382812,1.06424520431373,"Mexico_15302","Mexico",2002,"Mexico"
"SRR1562970",18.4073167978288,0.665267593439477,4.34995684452463,"Thailand_VKBT-73","Thailand",2012,"Thailand"
"SRR1562971",-19.6803276633069,5.02822748606371,2.33489364188746,"Colombia_30102100443-A","Colombia",2012,"Colombia"
"SRR1562972",-19.6864772043327,9.85575825250393,3.87341482237774,"Peru3043_D87","Peru",2011,"Peru"
