"STRid","Pop"
"FALCIPARUM_STR_31124","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_28816","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_28730","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_28458","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_836","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_31269","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_31113","Cambodia-PapuaNewGuinea"
"FALCIPARUM_STR_4950","Cambodia-Peru"
"FALCIPARUM_STR_10247","Cambodia-Peru"
"FALCIPARUM_STR_13115","Cambodia-Peru"
"FALCIPARUM_STR_20149","Cambodia-Peru"
"FALCIPARUM_STR_28375","Cambodia-Peru"
"FALCIPARUM_STR_28381","Cambodia-Peru"
"FALCIPARUM_STR_28756","Cambodia-Peru"
"FALCIPARUM_STR_28816","Cambodia-Peru"
"FALCIPARUM_STR_32835","Cambodia-Peru"
"FALCIPARUM_STR_33082","Cambodia-Peru"
"FALCIPARUM_STR_40914","Cambodia-Thailand"
"FALCIPARUM_STR_47210","Cambodia-Thailand"
"FALCIPARUM_STR_38358","Cambodia-Thailand"
"FALCIPARUM_STR_28819","Cambodia-Thailand"
"FALCIPARUM_STR_28816","Cambodia-Thailand"
"FALCIPARUM_STR_38372","Cambodia-Thailand"
"FALCIPARUM_STR_101317","Cambodia-Thailand"
"FALCIPARUM_STR_19050","Cambodia-Thailand"
"FALCIPARUM_STR_55109","Cambodia-Thailand"
"FALCIPARUM_STR_34559","Cambodia-Thailand"
"FALCIPARUM_STR_24609","Cambodia-VietNam"
"FALCIPARUM_STR_40914","Cambodia-VietNam"
"FALCIPARUM_STR_52946","Cambodia-VietNam"
"FALCIPARUM_STR_59750","Cambodia-VietNam"
"FALCIPARUM_STR_11117","Cambodia-VietNam"
"FALCIPARUM_STR_74883","Cambodia-VietNam"
"FALCIPARUM_STR_83841","Cambodia-VietNam"
"FALCIPARUM_STR_93336","Cambodia-VietNam"
"FALCIPARUM_STR_11225","Cambodia-VietNam"
"FALCIPARUM_STR_15418","Cambodia-VietNam"
"FALCIPARUM_STR_10532","Cameroon-Bangladesh"
"FALCIPARUM_STR_10803","Cameroon-Bangladesh"
"FALCIPARUM_STR_69274","Cameroon-Bangladesh"
"FALCIPARUM_STR_58601","Cameroon-Bangladesh"
"FALCIPARUM_STR_38162","Cameroon-Bangladesh"
"FALCIPARUM_STR_93966","Cameroon-Bangladesh"
"FALCIPARUM_STR_38211","Cameroon-Bangladesh"
"FALCIPARUM_STR_73617","Cameroon-Bangladesh"
"FALCIPARUM_STR_87743","Cameroon-Bangladesh"
"FALCIPARUM_STR_80583","Cameroon-Bangladesh"
"FALCIPARUM_STR_14871","Cameroon-Benin"
"FALCIPARUM_STR_14854","Cameroon-Benin"
"FALCIPARUM_STR_1204","Cameroon-Benin"
"FALCIPARUM_STR_38068","Cameroon-Benin"
"FALCIPARUM_STR_38196","Cameroon-Benin"
"FALCIPARUM_STR_38241","Cameroon-Benin"
"FALCIPARUM_STR_38102","Cameroon-Benin"
"FALCIPARUM_STR_38117","Cameroon-Benin"
"FALCIPARUM_STR_52755","Cameroon-Benin"
"FALCIPARUM_STR_25356","Cameroon-Benin"
"FALCIPARUM_STR_100098","Cameroon-Cambodia"
"FALCIPARUM_STR_73617","Cameroon-Cambodia"
"FALCIPARUM_STR_91975","Cameroon-Cambodia"
"FALCIPARUM_STR_45404","Cameroon-Cambodia"
"FALCIPARUM_STR_28730","Cameroon-Cambodia"
"FALCIPARUM_STR_28375","Cameroon-Cambodia"
"FALCIPARUM_STR_33501","Cameroon-Cambodia"
"FALCIPARUM_STR_95714","Cameroon-Cambodia"
"FALCIPARUM_STR_10532","Cameroon-Cambodia"
"FALCIPARUM_STR_99848","Cameroon-Cambodia"
"FALCIPARUM_STR_15081","Cameroon-Colombia"
"FALCIPARUM_STR_28446","Cameroon-Colombia"
"FALCIPARUM_STR_28751","Cameroon-Colombia"
"FALCIPARUM_STR_28756","Cameroon-Colombia"
"FALCIPARUM_STR_28816","Cameroon-Colombia"
"FALCIPARUM_STR_85311","Cameroon-Colombia"
"FALCIPARUM_STR_86508","Cameroon-Colombia"
"FALCIPARUM_STR_86511","Cameroon-Colombia"
"FALCIPARUM_STR_90428","Cameroon-Colombia"
"FALCIPARUM_STR_28714","Cameroon-Colombia"
"FALCIPARUM_STR_14871","Cameroon-IvoryCoast"
"FALCIPARUM_STR_40639","Cameroon-IvoryCoast"
"FALCIPARUM_STR_38068","Cameroon-IvoryCoast"
"FALCIPARUM_STR_38180","Cameroon-IvoryCoast"
"FALCIPARUM_STR_38219","Cameroon-IvoryCoast"
"FALCIPARUM_STR_38196","Cameroon-IvoryCoast"
"FALCIPARUM_STR_38102","Cameroon-IvoryCoast"
"FALCIPARUM_STR_62365","Cameroon-IvoryCoast"
"FALCIPARUM_STR_87326","Cameroon-IvoryCoast"
"FALCIPARUM_STR_62262","Cameroon-IvoryCoast"
"FALCIPARUM_STR_45404","Cameroon-Laos"
"FALCIPARUM_STR_100098","Cameroon-Laos"
"FALCIPARUM_STR_95714","Cameroon-Laos"
"FALCIPARUM_STR_28375","Cameroon-Laos"
"FALCIPARUM_STR_8856","Cameroon-Laos"
"FALCIPARUM_STR_73617","Cameroon-Laos"
"FALCIPARUM_STR_10532","Cameroon-Laos"
"FALCIPARUM_STR_53220","Cameroon-Laos"
"FALCIPARUM_STR_100069","Cameroon-Laos"
"FALCIPARUM_STR_91975","Cameroon-Laos"
"FALCIPARUM_STR_100098","Cameroon-Myanmar"
"FALCIPARUM_STR_10532","Cameroon-Myanmar"
"FALCIPARUM_STR_69274","Cameroon-Myanmar"
"FALCIPARUM_STR_70842","Cameroon-Myanmar"
"FALCIPARUM_STR_100069","Cameroon-Myanmar"
"FALCIPARUM_STR_84610","Cameroon-Myanmar"
"FALCIPARUM_STR_45404","Cameroon-Myanmar"
"FALCIPARUM_STR_21538","Cameroon-Myanmar"
"FALCIPARUM_STR_28730","Cameroon-Myanmar"
"FALCIPARUM_STR_73617","Cameroon-Myanmar"
"FALCIPARUM_STR_103268","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_31184","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_31124","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_10532","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_69274","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_68365","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_10460","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_39610","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_17702","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_47499","Cameroon-PapuaNewGuinea"
"FALCIPARUM_STR_4950","Cameroon-Peru"
